tool,class,confidence,runtime,launch,tests,tools,docs,other,strong_total
tools/prepare_v24_liver_enriched_openswisshcc.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/profile_openswisshcc_localizer_roi_v10_timing.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/project_openswisshcc_enhancement_top5_timing_v22.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/quest_network.ps1,RUNTIME_OR_LAUNCH_WIRED,STRONG,0,3,1,2,1,0,6
tools/rank_liver_integrity_candidates.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/rebind_medsiglip_embeddings.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/remediate_openswisshcc_candidates.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/render_best_worst_gallery.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,3,0,4
tools/render_liver_mesh_gallery.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/render_liver_state_gallery.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/render_liver_union_gallery.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/render_openswisshcc_candidate.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,0,0,1
tools/render_openswisshcc_fallback.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/render_openswisshcc_multisequence.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/render_segmentation_shadow_mesh_comparison_v2.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/render_spotlight_panel.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/report_openswisshcc_v11_v13_cross_tab.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/review_chaos_v21_panels.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/review_liverhccseg_v21_panels.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/review_lld_mmri_v23.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/review_lld_mmri_v23_full_fov.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/review_lld_mmri_v23_liver_enriched.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/review_openswisshcc_axial_atlas_v17.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/review_openswisshcc_candidate_volume_v16.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/review_openswisshcc_holdout_v21.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/review_openswisshcc_localizer_roi_v10.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/review_openswisshcc_multisequence.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/review_openswisshcc_multisequence_quality.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/review_openswisshcc_panels.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,4,0,4
tools/review_openswisshcc_volumetric.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_chaos_v21_signals.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_gd_eob_hbp_pilot.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_internal_blind_visual_case.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/run_liverhccseg_v21_signals.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/run_lld_mmri_v23_full_fov_timing.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_lld_mmri_v23_liver_enriched_timing.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_lld_mmri_v23_signals.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_mrsegmentator_chaos_gpu_v2.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/run_multi_signal_production.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_arterial_union_localizer_v22.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_axial_atlas_chunk_v18.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_axial_atlas_rag_v19.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_axial_atlas_score_v17.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/run_openswisshcc_candidate_volume_score_v16.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/run_openswisshcc_candidate_volume_timing_v16.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_highdimensional_batch.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_highdimensional_pilot.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_holdout_v21.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,9,0,10
tools/run_openswisshcc_holdout_v21_isolated_localizer.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,0,0,1
tools/run_openswisshcc_holdout_v21_localizer_win.ps1,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_holdout_v21_medsiglip_win.ps1,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_inference.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/run_openswisshcc_lesion_localizer_chunk.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,0,0,1
tools/run_openswisshcc_lesion_localizer_chunk_win.ps1,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_lesion_localizer_pilot.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,0,0,1
tools/run_openswisshcc_lesion_localizer_pilot_win.ps1,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/run_openswisshcc_localizer_roi_v10_ab.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_multisequence_chunk.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_multisequence_pairwise.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_slice_pairwise.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_v20_fusion.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_volume_score_batch_v14.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_volume_score_pilot_v14.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_volumetric_inference.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_volumetric_medsiglip.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/run_openswisshcc_volumetric_pairwise.py,TOOLCHAIN_ONLY,STRONG,0,0,0,2,0,0,2
tools/run_raw_phase_equivalence_benchmark.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/run_segmentation_visualization_shadow_v2.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/run_totalsegmentator_liver_cohort_v2.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
